date,open,high,low,close,average,volume,count
1632297850,8.16,8.16,8.16,8.16,8.16,1,1
1632297855,8.16,8.16,8.16,8.16,8.16,0,0
1632297860,8.16,8.16,8.16,8.16,8.16,0,0
1632297865,8.16,8.16,8.16,8.16,8.16,0,0
1632297870,8.16,8.16,8.16,8.16,8.16,0,0
1632297875,8.16,8.16,8.16,8.16,8.16,0,0
1632297880,8.16,8.16,8.16,8.16,8.16,0,0
1632297885,8.16,8.16,8.16,8.16,8.16,0,0
1632297890,8.16,8.16,8.16,8.16,8.16,0,0
1632297895,8.16,8.16,8.16,8.16,8.16,0,0
1632297900,8.16,8.16,8.16,8.16,8.16,0,0
1632297905,8.16,8.16,8.16,8.16,8.16,0,0
1632297910,8.16,8.16,8.16,8.16,8.16,0,0
1632297915,8.16,8.16,8.16,8.16,8.16,0,0
1632297920,8.16,8.16,8.16,8.16,8.16,0,0
1632297925,8.16,8.16,8.16,8.16,8.16,0,0
1632297930,8.16,8.16,8.16,8.16,8.16,0,0
1632297935,8.16,8.16,8.16,8.16,8.16,0,0
1632297940,8.16,8.16,8.16,8.16,8.16,0,0
1632297945,8.16,8.16,8.16,8.16,8.16,0,0
1632297950,8.16,8.16,8.16,8.16,8.16,0,0
1632297955,8.16,8.16,8.16,8.16,8.16,0,0
1632297960,8.16,8.16,8.16,8.16,8.16,0,0
1632297965,8.16,8.16,8.16,8.16,8.16,0,0
1632297970,8.16,8.16,8.16,8.16,8.16,0,0
1632297975,8.16,8.16,8.16,8.16,8.16,0,0
1632297980,8.16,8.16,8.16,8.16,8.16,0,0
1632297985,8.16,8.16,8.16,8.16,8.16,0,0
1632297990,8.16,8.16,8.16,8.16,8.16,0,0
1632297995,8.16,8.16,8.16,8.16,8.16,0,0
1632298000,8.16,8.16,8.16,8.16,8.16,0,0
1632298005,8.16,8.16,8.16,8.16,8.16,0,0
1632298010,8.16,8.16,8.16,8.16,8.16,0,0
1632298015,8.16,8.16,8.16,8.16,8.16,0,0
1632298020,8.16,8.16,8.16,8.16,8.16,0,0
1632298025,8.16,8.16,8.16,8.16,8.16,0,0
1632298030,8.16,8.16,8.16,8.16,8.16,0,0
1632298035,8.16,8.16,8.16,8.16,8.16,0,0
1632298040,8.16,8.16,8.16,8.16,8.16,0,0
1632298045,8.16,8.16,8.16,8.16,8.16,0,0
1632298050,8.16,8.16,8.16,8.16,8.16,0,0
1632298055,8.16,8.16,8.16,8.16,8.16,0,0
1632298060,8.16,8.16,8.16,8.16,8.16,0,0
1632298065,8.16,8.16,8.16,8.16,8.16,0,0
1632298070,8.16,8.16,8.16,8.16,8.16,0,0
1632298075,8.16,8.16,8.16,8.16,8.16,0,0
1632298080,8.16,8.16,8.16,8.16,8.16,0,0
1632298085,8.16,8.16,8.16,8.16,8.16,0,0
1632298090,8.16,8.16,8.16,8.16,8.16,0,0
1632298095,8.16,8.16,8.16,8.16,8.16,0,0
1632298100,8.16,8.16,8.16,8.16,8.16,0,0
1632298105,8.16,8.16,8.16,8.16,8.16,0,0
1632298110,8.16,8.16,8.16,8.16,8.16,0,0
1632298115,8.16,8.16,8.16,8.16,8.16,0,0
1632298120,8.16,8.16,8.16,8.16,8.16,0,0
1632298125,8.16,8.16,8.16,8.16,8.16,0,0
1632298130,8.16,8.16,8.16,8.16,8.16,0,0
1632298135,8.16,8.16,8.16,8.16,8.16,0,0
1632298140,8.16,8.16,8.16,8.16,8.16,0,0
1632298145,8.16,8.16,8.16,8.16,8.16,0,0
1632298150,8.16,8.16,8.16,8.16,8.16,0,0
1632298155,8.16,8.16,8.16,8.16,8.16,0,0
1632298160,8.16,8.16,8.16,8.16,8.16,0,0
1632298165,8.16,8.16,8.16,8.16,8.16,0,0
1632298170,8.16,8.16,8.16,8.16,8.16,0,0
1632298175,8.16,8.16,8.16,8.16,8.16,0,0
1632298180,8.16,8.16,8.16,8.16,8.16,0,0
1632298185,8.16,8.16,8.16,8.16,8.16,0,0
1632298190,8.16,8.16,8.16,8.16,8.16,0,0
1632298195,8.16,8.16,8.16,8.16,8.16,0,0
1632298200,8.16,8.16,8.16,8.16,8.16,0,0
1632298205,8.16,8.16,8.16,8.16,8.16,0,0
1632298210,8.16,8.16,8.16,8.16,8.16,0,0
1632298215,8.16,8.16,8.16,8.16,8.16,0,0
1632298220,8.16,8.16,8.16,8.16,8.16,0,0
1632298225,8.16,8.16,8.16,8.16,8.16,0,0
1632298230,8.16,8.16,8.16,8.16,8.16,0,0
1632298235,8.16,8.16,8.16,8.16,8.16,0,0
1632298240,8.16,8.16,8.16,8.16,8.16,0,0
1632298245,8.16,8.16,8.16,8.16,8.16,0,0
1632298250,8.16,8.16,8.16,8.16,8.16,0,0
1632298255,8.16,8.16,8.16,8.16,8.16,0,0
1632298260,8.16,8.16,8.16,8.16,8.16,0,0
1632298265,8.16,8.16,8.16,8.16,8.16,0,0
1632298270,8.16,8.16,8.16,8.16,8.16,0,0
1632298275,8.16,8.16,8.16,8.16,8.16,0,0
1632298280,8.16,8.16,8.16,8.16,8.16,0,0
1632298285,8.16,8.16,8.16,8.16,8.16,0,0
1632298290,8.16,8.16,8.16,8.16,8.16,0,0
1632298295,8.16,8.16,8.16,8.16,8.16,0,0
1632298300,8.16,8.16,8.16,8.16,8.16,0,0
1632298305,8.16,8.16,8.16,8.16,8.16,0,0
1632298310,8.16,8.16,8.16,8.16,8.16,0,0
1632298315,8.16,8.16,8.16,8.16,8.16,0,0
1632298320,8.16,8.16,8.16,8.16,8.16,0,0
1632298325,8.16,8.16,8.16,8.16,8.16,0,0
1632298330,8.16,8.16,8.16,8.16,8.16,0,0
1632298335,8.16,8.16,8.16,8.16,8.16,0,0
1632298340,8.16,8.16,8.16,8.16,8.16,0,0
1632298345,8.16,8.16,8.16,8.16,8.16,0,0
1632298350,8.16,8.16,8.16,8.16,8.16,0,0
1632298355,8.16,8.16,8.16,8.16,8.16,0,0
1632298360,8.16,8.16,8.16,8.16,8.16,0,0
1632298365,8.16,8.16,8.16,8.16,8.16,0,0
1632298370,8.16,8.16,8.16,8.16,8.16,0,0
1632298375,8.16,8.16,8.16,8.16,8.16,0,0
1632298380,8.16,8.16,8.16,8.16,8.16,0,0
1632298385,8.16,8.16,8.16,8.16,8.16,0,0
1632298390,8.16,8.16,8.16,8.16,8.16,0,0
1632298395,8.16,8.16,8.16,8.16,8.16,0,0
1632298400,8.16,8.16,8.16,8.16,8.16,0,0
1632298405,8.16,8.16,8.16,8.16,8.16,0,0
1632298410,8.16,8.16,8.16,8.16,8.16,0,0
1632298415,8.16,8.16,8.16,8.16,8.16,0,0
1632298420,8.16,8.16,8.16,8.16,8.16,0,0
1632298425,8.16,8.16,8.16,8.16,8.16,0,0
1632298430,8.16,8.16,8.16,8.16,8.16,0,0
1632298435,8.16,8.16,8.16,8.16,8.16,0,0
1632298440,8.16,8.16,8.16,8.16,8.16,0,0
1632298445,8.16,8.16,8.16,8.16,8.16,0,0
1632298450,8.16,8.16,8.16,8.16,8.16,0,0
1632298455,8.16,8.16,8.16,8.16,8.16,0,0
1632298460,8.16,8.16,8.16,8.16,8.16,0,0
1632298465,8.16,8.16,8.16,8.16,8.16,0,0
1632298470,8.16,8.16,8.16,8.16,8.16,0,0
1632298475,8.16,8.16,8.16,8.16,8.16,0,0
1632298480,8.16,8.16,8.16,8.16,8.16,0,0
1632298485,8.16,8.16,8.16,8.16,8.16,0,0
1632298490,8.16,8.16,8.16,8.16,8.16,0,0
